,1INCH,AAVE,ACH
155,6.075400054244651,2.6380424927508583,
156,-12.989005369470718,-8.435184754695102,
157,-8.90390831619159,-1.5468751866763775,
158,2.9677419354838808,2.8441410693970326,
159,-5.0438596491228065,-8.372271386430686,
160,-9.600791817881882,-8.024969576779206,
161,-0.4014598540146075,-2.4694512602776997,
162,10.443385855624765,13.60556424869721,
163,22.130059721300597,0.5092466813670038,
164,1.6843249117087788,-2.0298090885660702,
165,-3.9540475554368126,-6.815848572345207,
166,-5.1460361613351875,1.032517945981315,
167,-7.155425219941359,-9.673066306814704,
168,-4.769425142135175,-3.8201518101015464,
169,12.603648424543934,6.9458935757936935,
170,-21.23711340206186,-22.072253805244813,
171,-10.172026925953626,-2.876641408198799,
172,8.576186511240635,0.6997547950648775,
173,4.447852760736204,1.605855574056081,
174,-13.803230543318657,-11.537423214091202,
175,0.08517887563885829,0.2355725215361426,
176,6.638297872340404,8.600088666214422,
177,-1.2370311252992705,11.745032461145,
178,2.8282828282828243,4.893485915492968,
179,-0.3143418467583481,5.177535897414387,
180,-6.700827749310201,-8.113078828837816,
181,1.2674271229404122,1.6555155630619822,
182,3.754693366708395,10.866426917918815,
183,1.7691998391636599,6.7440749530002675,
184,-1.6594231529040049,11.167813138348937,
185,14.02169546002412,2.782881964509487,
186,-3.1360112755461578,-0.6702506017094323,
187,-8.62131684248818,-7.429183785090121,
188,2.5875796178344013,4.270850150972305,
189,-3.337213814512996,-2.910267307096781,
190,1.0036130068245663,3.4810255435815396,
191,-3.8950715421303572,-2.7766574526758347,
192,-4.01157981803143,-8.496709982698313,
193,-1.2063765618268052,3.003943828093325,
194,-6.236371565634546,-2.641880770056526,
195,-8.651162790697676,-6.825641270669703,
196,2.443991853360483,-0.1305689017222389,
197,0.6958250497017815,0.24133504492940272,
198,-11.796643632773929,-6.009787773951281,
199,-4.476776720761045,-6.367226475051768,
200,7.264206209724655,16.11490691572717,
201,11.687602403058438,7.49369548619947,
202,3.276283618581921,4.05205687802217,
203,-3.125000000000011,-0.7181074782464658,
204,0.04887585532749039,0.05034984460996483,
205,4.543234000977048,5.071321972720666,
206,3.6915887850467177,-0.9238889879831791,
207,-1.3068949977467326,-0.6491190051509443,
208,2.602739726027403,4.766810515506803,
209,2.625723186470852,2.7363606371495486,
210,3.0355594102341676,3.240258647029126,
211,-2.3989898989899006,-4.366746290832557,
212,-0.6899525657611094,1.104904335304835,
213,-3.0829353017802763,-3.5976862870028548,
214,5.017921146953386,9.775512782714912,15.32051282051281
215,3.2849829351535798,10.146326202956036,159.40337224383921
216,3.7174721189591198,-0.8555482019554694,122.57428571428571
217,7.805655117483057,4.170607916371649,-37.74149240702943
218,-7.942371629109712,-6.3401219354001785,6.211340206185567
219,10.71428571428572,3.6414302017661493,-1.4122785731618626
220,1.1960855382384894,2.636052149092105,-10.327852712415087
221,5.050143266475637,4.882024680941921,-2.740447957839265
222,-4.125468803273103,-2.470895227785652,1.6605707576988982
223,9.35277382645805,9.007756792603171,-3.6833046471600683
224,-0.4878048780487809,-3.1791144812833183,-1.5425764947312515
